filename,transcription,processed
P1,opino que el uso de las redes sociales en mi vida diaria es muy importante Ya que nos mantiene informados y conectados de todo lo que pasa día con día.,opino uso red social vida diario importante mantener informado conectado pasar día día
P2,Yo opino que el tiempo que la gente pasa en redes sociales muchas veces es excesivo ya que los mismos algoritmos de las redes te hacen que pases mucho tiempo observando cosas que a lo mejor son innecesarias.,opino tiempo gente pasar red social mucho vez excesivo mismo algoritmo red hacer pase tiempo observar cosa mejor innecesario
P3,el celular me resulta muy útil en mis actividades diarias ya que con él hago todas las cosas importantes que va desde revisar la hora el clima entre otras actividades .,celular resultar útil actividad diario hacer todo cosa importante ir revisar hora clima actividad
P4,estoy muy satisfecho con las plataformas digitales que uso para estudiar ya que Considero que están bien optimizadas y que muchas veces son gratuitas lo que lo hace un paso muy importante para seguir aprendiendo.,satisfecho plataforma digital uso estudiar considero bien optimizada mucho vez gratuito hacer paso importante seguir aprender
P5,como ventajas del uso de redes sociales entre los jóvenes pues se podría destacar que es muy fácil obtener acceso a la información es sumamente rápido pero como desventaja podría incluir ahí lo que es el consumo excesivo de tiempo que este le quita a los jóvenes .,ventaja uso red social joven pues poder destacar fácil obtener acceso información sumamente rápido desventajar poder incluir ahí consumo excesivo tiempo quitar joven
P6,Bueno yo opino que el Internet es muy importante Ya que con él podemos acceder a la información muy rápidamente y en cualquier lugar del mundo prácticamente.,bueno opino internet importante poder acceder información rápidamente cualquiera lugar mundo prácticamente
P7,el uso del celular es muy importante Ya que es una excelente herramienta que nos ayuda en el aprendizaje y nos ayuda a facilitándonos en los temas que tenemos que investigar.,uso celular importante excelente herramienta ayudo aprendizaje ayuda facilitándonos tema investigar
P8,que está muy bien la forma en que las personas usan su celular en lugares públicos .,bien formar persona usar celular lugar público
P9,regularmente se me hace muy fácil adaptar una nuevas tecnologías ya que muchas veces estos ya están optimizadas y te facilitan mucho las cosas.,regularmente hacer fácil adaptar nuevo tecnología mucho vez optimizada facilitar cosa
P10,Considero que la tecnología es muy útil para resolver problemas de la vida cotidiana ya que muchas veces nos facilitan las cosas.,considerar tecnología útil resolver problema vida cotidiano mucho vez facilitar cosa
